Cash Surplus,Consumer Price Inflation,Exports goods and services growth,Import goods and services growth,Foreign direct investment inflows,Gross Savings,Labour Participation,Secondary School,Unemployment,Vulnerable Employment,GDP Growth
9.9450586338,1.4631890432,23.887318176,16.0424151926,4.5736926616,51.6105552003,75.0999984741,73.15134,4.0999999046,7.8000001907,12.7
13.3357034692,3.1067428324,21.8596402234,14.9871928644,4.5227769752,51.658983622,75,74.64744,4.0499999523,7.5,13.45
16.7263483046,4.7502966216,19.8319622707,13.9319705362,4.4718612888,51.7074120437,74.9000015259,76.14354,4,7.1999998093,14.2
17.2275583911,5.3073401721,14.1221817964,8.8590438498,4.1326710479,52.3038417282,74.7000007629,77.31703,4,7.2999999523,11.9
17.7287684776,5.8643837226,8.4124013221,3.7861171635,3.7934808071,52.9002714126,74.5,78.49052,4,7.4000000954,9.6
15.6331956998,2.580717293,-0.9562006305,3.9665060819,3.2096067661,53.1279570406,74.4500007629,79.27155,4,7.4000000954,9.4
13.537622922,-0.7029491365,-10.3248025831,4.1468950003,2.6257327252,53.3556426685,74.4000015259,80.05258,4,7.4000000954,9.2
16.4311274211,1.3057983961,8.690452354,12.1401263655,3.3675179393,52.9847065333,74.2999992371,80.61509,4.05,6.8500001431,9.8
19.3246319201,3.3145459288,27.7057072911,20.1333577307,4.1093031534,52.613770398,74.1999969482,81.1776,4.1,6.3000001907,10.4
22.0140792099,4.3626877861,18.2394869579,12.4609260348,3.9672076032,52.6823169528,74.1499977112,81.270885,4.1,6.4000000954,9.85
24.7035264996,5.4108296434,8.7732666248,4.7884943388,3.8251120529,52.7508635077,74.0999984741,81.36417,4.1,6.5,9.3
-1.0767589896,2.3923408896,5.7005057403,13.1936911595,1.4800613165,15.0653558922,53.3000011444,91.78273,24.25,15.1000003815,4.9158301976
-0.1892326435,3.3992999461,8.5676716588,10.879133967,2.6399744721,14.7899872386,53.4000015259,92.38011,23.7999992371,15.1000003815,5.2771169916
0.3604532655,4.0204624202,8.0151600299,14.5701070935,1.2848103254,14.7238729548,53.5500011444,93.69349,23.1999998093,15.1000003815,5.4404173421
0.9101391745,4.6416248942,7.462648401,18.26108022,-0.0703538213,14.657758671,53.7000007629,95.00687,22.6000003815,15.1000003815,5.6037176926
0.993189849,5.8700223513,7.0071083185,13.6233337838,0.9671812123,14.715543341,53.8500003815,95.353255,22.4499998093,15.1000003815,5.5757373037
1.0762405236,7.0984198084,6.5515682359,8.9855873475,2.0047162458,14.7733280109,54,95.69964,22.2999992371,15.1000003815,5.5477569147
0.1972139407,9.317435289,4.1527384603,5.2491429828,2.7678946841,15.4070143695,54.6499996185,94.408395,22.5,12.6000003815,4.5849299573
-0.6818126422,11.5364507697,1.7539086847,1.5126986182,3.5310731224,16.0407007281,55.2999992371,93.11715,22.7000007629,10.1000003815,3.622103
-2.9026364733,9.3332253848,-8.8888857681,-7.9392610946,2.7081353588,15.9450356177,54.4499988556,93.464415,23.2000007629,10.1000003815,1.0478780298
-5.1234603044,7.13,-19.5316802209,-17.3912208074,1.8851975952,15.8493705073,53.5999984741,93.81168,23.7000007629,10.1000003815,-1.5263469404
-4.5849191379,5.6961717749,-7.4989397078,-3.9176002668,1.1111207083,16.2979490114,52.7999992371,93.81168,24.2000007629,10.1500000954,0.7801443595
-4.0463779713,4.2623435498,4.5338008053,9.5560202737,0.3370438214,16.7465275156,52,93.81168,24.7000007629,10.1999998093,3.0866356595
-4.234281965,4.7711831176,5.2349569696,9.6375021464,0.9013833422,16.6155363823,52.1499996185,93.81168,24.7000007629,10.0999999046,3.2719335257
-4.4221859588,5.2800226854,5.9361131339,9.7189840191,1.4657228629,16.484545249,52.2999992371,93.81168,24.7000007629,10,3.4572313919
